Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2H-Paged,158.7,0.00001,1024,1
D2H-Paged,3607.6,0.00014,525312,1
D2H-Paged,3700.4,0.00027,1049600,1
D2H-Paged,4420.5,0.00034,1573888,1
D2H-Paged,4667.4,0.00043,2098176,1
D2H-Paged,4908.0,0.00051,2622464,1
D2H-Paged,4815.1,0.00062,3146752,1
D2H-Paged,5128.0,0.00068,3671040,1
D2H-Paged,5029.5,0.00080,4195328,1
D2H-Paged,5293.4,0.00085,4719616,1
D2H-Paged,5208.5,0.00096,5243904,1
D2H-Paged,5319.7,0.00103,5768192,1
D2H-Paged,5245.9,0.00114,6292480,1
D2H-Paged,5427.6,0.00120,6816768,1
D2H-Paged,5152.4,0.00136,7341056,1
D2H-Paged,5170.6,0.00145,7865344,1
D2H-Paged,5177.9,0.00155,8389632,1
D2H-Paged,5246.2,0.00162,8913920,1
D2H-Paged,5130.2,0.00175,9438208,1
D2H-Paged,5240.8,0.00181,9962496,1
D2H-Paged,5259.6,0.00190,10486784,1
D2H-Paged,5356.9,0.00196,11011072,1
D2H-Paged,5274.4,0.00209,11535360,1
D2H-Paged,5367.6,0.00214,12059648,1
D2H-Paged,5354.7,0.00224,12583936,1
D2H-Paged,5411.1,0.00231,13108224,1
D2H-Paged,5413.8,0.00240,13632512,1
D2H-Paged,5486.1,0.00246,14156800,1
D2H-Paged,5437.9,0.00257,14681088,1
D2H-Paged,5370.3,0.00270,15205376,1
D2H-Paged,5362.2,0.00280,15729664,1
D2H-Paged,5406.3,0.00287,16253952,1
D2H-Paged,5361.6,0.00298,16778240,1
D2H-Paged,5403.8,0.00305,17302528,1
D2H-Paged,5336.7,0.00319,17826816,1
D2H-Paged,5381.4,0.00325,18351104,1
D2H-Paged,5303.2,0.00339,18875392,1
D2H-Paged,5312.2,0.00348,19399680,1
D2H-Paged,5255.5,0.00362,19923968,1
D2H-Paged,5176.3,0.00377,20448256,1
D2H-Paged,5095.8,0.00393,20972544,1
D2H-Paged,5136.3,0.00399,21496832,1
D2H-Paged,5197.8,0.00404,22021120,1
D2H-Paged,5303.8,0.00405,22545408,1
D2H-Paged,5316.7,0.00414,23069696,1
D2H-Paged,5418.2,0.00415,23593984,1
D2H-Paged,5414.9,0.00425,24118272,1
D2H-Paged,5481.9,0.00429,24642560,1
D2H-Paged,5458.4,0.00440,25166848,1
D2H-Paged,5511.9,0.00445,25691136,1
D2H-Paged,5454.9,0.00458,26215424,1
D2H-Paged,5477.4,0.00466,26739712,1
D2H-Paged,5502.5,0.00473,27264000,1
D2H-Paged,5520.9,0.00480,27788288,1
D2H-Paged,5503.5,0.00491,28312576,1
D2H-Paged,5559.6,0.00495,28836864,1
D2H-Paged,5474.3,0.00511,29361152,1
D2H-Paged,5567.2,0.00512,29885440,1
D2H-Paged,5539.5,0.00524,30409728,1
D2H-Paged,5546.6,0.00532,30934016,1
D2H-Paged,5551.9,0.00540,31458304,1
D2H-Paged,5538.6,0.00551,31982592,1
D2H-Paged,5505.6,0.00563,32506880,1
D2H-Paged,5548.1,0.00568,33031168,1
D2H-Paged,5496.6,0.00582,33555456,1
D2H-Paged,5514.4,0.00589,34079744,1
D2H-Paged,5462.6,0.00604,34604032,1
D2H-Paged,5523.6,0.00607,35128320,1
D2H-Paged,5480.7,0.00620,35652608,1
D2H-Paged,5525.2,0.00624,36176896,1
D2H-Paged,5478.2,0.00639,36701184,1
D2H-Paged,5496.6,0.00646,37225472,1
D2H-Paged,5489.5,0.00656,37749760,1
D2H-Paged,5494.0,0.00664,38274048,1
D2H-Paged,5533.7,0.00669,38798336,1
D2H-Paged,5583.2,0.00672,39322624,1
D2H-Paged,5594.5,0.00679,39846912,1
D2H-Paged,5594.3,0.00688,40371200,1
D2H-Paged,5558.2,0.00702,40895488,1
D2H-Paged,5553.4,0.00711,41419776,1
D2H-Paged,5547.0,0.00721,41944064,1
D2H-Paged,5551.0,0.00730,42468352,1
D2H-Paged,5585.0,0.00734,42992640,1
D2H-Paged,5489.9,0.00756,43516928,1
D2H-Paged,5547.6,0.00757,44041216,1
D2H-Paged,5586.6,0.00761,44565504,1
D2H-Paged,5530.1,0.00778,45089792,1
D2H-Paged,5563.0,0.00782,45614080,1
D2H-Paged,5573.7,0.00789,46138368,1
D2H-Paged,5614.9,0.00793,46662656,1
D2H-Paged,5593.4,0.00805,47186944,1
D2H-Paged,5597.4,0.00813,47711232,1
D2H-Paged,5627.4,0.00817,48235520,1
D2H-Paged,5579.1,0.00833,48759808,1
D2H-Paged,5546.5,0.00847,49284096,1
D2H-Paged,5596.6,0.00849,49808384,1
D2H-Paged,5594.0,0.00858,50332672,1
D2H-Paged,5584.0,0.00869,50856960,1
D2H-Paged,5599.2,0.00875,51381248,1
D2H-Paged,5602.0,0.00884,51905536,1
D2H-Paged,5540.3,0.00902,52429824,1
D2H-Paged,5600.6,0.00902,52954112,1
D2H-Paged,5590.7,0.00912,53478400,1
D2H-Paged,5622.5,0.00916,54002688,1
D2H-Paged,5577.2,0.00932,54526976,1
D2H-Paged,5617.7,0.00935,55051264,1
D2H-Paged,5436.6,0.00975,55575552,1
D2H-Paged,5571.8,0.00960,56099840,1
D2H-Paged,5581.3,0.00968,56624128,1
D2H-Paged,5603.7,0.00973,57148416,1
D2H-Paged,5627.4,0.00977,57672704,1
D2H-Paged,5590.5,0.00993,58196992,1
D2H-Paged,5558.7,0.01007,58721280,1
D2H-Paged,5583.8,0.01012,59245568,1
D2H-Paged,5587.8,0.01020,59769856,1
D2H-Paged,5638.2,0.01020,60294144,1
D2H-Paged,5601.2,0.01036,60818432,1
D2H-Paged,5604.4,0.01044,61342720,1
D2H-Paged,5567.3,0.01060,61867008,1
D2H-Paged,5557.8,0.01071,62391296,1
D2H-Paged,5574.2,0.01076,62915584,1
D2H-Paged,5591.2,0.01082,63439872,1
D2H-Paged,5586.5,0.01092,63964160,1
D2H-Paged,5631.2,0.01092,64488448,1
D2H-Paged,5596.2,0.01108,65012736,1
D2H-Paged,5631.9,0.01110,65537024,1
D2H-Paged,5584.9,0.01128,66061312,1
D2H-Paged,5583.2,0.01137,66585600,1